id,user_id,target_id,count,character,press_time,release_time
541,3,3,0,b,1535672731064,1535672731247
542,3,3,0,o,1535672731531,1535672731713
543,3,3,0,u,1535672732171,1535672732272
544,3,3,0,n,1535672732710,1535672732852
545,3,3,0,i,1535672732872,1535672732973
546,3,3,0,a,1535672733375,1535672733517
547,3,3,0,t,1535672734092,1535672734275
548,3,3,0,a,1535672734234,1535672734376
549,3,3,0,r,1535672734858,1535672735001
550,3,3,0,u,1535672735062,1535672735163
551,3,3,1,i,1535672763528,1535672763710
552,3,3,1,n,1535672763799,1535672763919
553,3,3,1,u,1535672764041,1535672764184
554,3,3,1,m,1535672764478,1535672764641
555,3,3,1,o,1535672764676,1535672764818
556,3,3,1,a,1535672765038,1535672765160
557,3,3,1,r,1535672765570,1535672765719
558,3,3,1,u,1535672765714,1535672765813
559,3,3,1,k,1535672766013,1535672766135
560,3,3,1,e,1535672766257,1535672766399
561,3,3,1,b,1535672766846,1535672766947
562,3,3,1,a,1535672766977,1535672767101
563,3,3,1,b,1535672767492,1535672767655
564,3,3,1,o,1535672767685,1535672767825
565,3,3,1,u,1535672768553,1535672768655
566,3,3,1,n,1535672769016,1535672769158
567,3,3,1,i,1535672769137,1535672769278
568,3,3,1,a,1535672769767,1535672769910
569,3,3,1,t,1535672770154,1535672770335
570,3,3,1,a,1535672770296,1535672770418
571,3,3,1,r,1535672771048,1535672771209
572,3,3,1,u,1535672771241,1535672771342
573,3,3,2,i,1535672791099,1535672791241
574,3,3,2,n,1535672791374,1535672791515
575,3,3,2,u,1535672791652,1535672791774
576,3,3,2,m,1535672792069,1535672792232
577,3,3,2,o,1535672792262,1535672792384
578,3,3,2,a,1535672792528,1535672792669
579,3,3,2,r,1535672793004,1535672793147
580,3,3,2,u,1535672793167,1535672793269
581,3,3,2,k,1535672793430,1535672793593
582,3,3,2,e,1535672793650,1535672793772
583,3,3,2,b,1535672794158,1535672794280
584,3,3,2,a,1535672794301,1535672794402
585,3,3,2,b,1535672794671,1535672794834
586,3,3,2,o,1535672794864,1535672794986
587,3,3,2,u,1535672795239,1535672795342
588,3,3,2,n,1535672795779,1535672795926
589,3,3,2,i,1535672795921,1535672796023
590,3,3,2,a,1535672796333,1535672796537
591,3,3,2,t,1535672796878,1535672797059
592,3,3,2,a,1535672797069,1535672797243
593,3,3,2,r,1535672797866,1535672798029
594,3,3,2,u,1535672798061,1535672798161
595,3,3,3,i,1535672814347,1535672814489
596,3,3,3,n,1535672814662,1535672814825
597,3,3,3,u,1535672815023,1535672815124
598,3,3,3,m,1535672815450,1535672815593
599,3,3,3,o,1535672815634,1535672815754
600,3,3,3,a,1535672815878,1535672816039
601,3,3,3,r,1535672816324,1535672816466
602,3,3,3,u,1535672816533,1535672816655
603,3,3,3,k,1535672816859,1535672817000
604,3,3,3,e,1535672817052,1535672817172
605,3,3,3,b,1535672817616,1535672817717
606,3,3,3,a,1535672817747,1535672817848
607,3,3,3,b,1535672818154,1535672818296
608,3,3,3,o,1535672818469,1535672818611
609,3,3,3,u,1535672818825,1535672818907
610,3,3,3,n,1535672819190,1535672819312
611,3,3,3,i,1535672819333,1535672819455
612,3,3,3,a,1535672819556,1535672819719
613,3,3,3,t,1535672819990,1535672820172
614,3,3,3,a,1535672820133,1535672820314
615,3,3,3,r,1535672820349,1535672820512
616,3,3,3,u,1535672820593,1535672820715
617,3,3,4,i,1535672835296,1535672835418
618,3,3,4,n,1535672835581,1535672835724
619,3,3,4,u,1535672835861,1535672836004
620,3,3,4,m,1535672836170,1535672836333
621,3,3,4,o,1535672836365,1535672836507
622,3,3,4,a,1535672836607,1535672836749
623,3,3,4,r,1535672837121,1535672837284
624,3,3,4,u,1535672837264,1535672837344
625,3,3,4,k,1535672837471,1535672837655
626,3,3,4,e,1535672837707,1535672837848
627,3,3,4,b,1535672838255,1535672838377
628,3,3,4,a,1535672838397,1535672838478
629,3,3,4,b,1535672838620,1535672838744
630,3,3,4,o,1535672838763,1535672838947
631,3,3,4,u,1535672839027,1535672839149
